StoreNumber,BatchNumber,SKU,ONHAND,ScannedCnt,Diff,BatchPass,BatchPassDecr,DateCreated
134,5,9956730,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,4,10063120,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,1160798,3,2,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2113467,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2250680,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2252143,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2564539,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2573003,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2838920,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3016442,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3136081,6,6,0,6,Variance 4,2022-08-11 18:08:04.930
134,4,3143562,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3156304,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3438071,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,51512184,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6657096,1,1,0,8,Variance 4 Supplement,2022-08-12 10:49:56.250
134,4,6717580,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6797780,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,68480122,2,1,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6916492,3,1,2,6,Variance 4,2022-08-11 18:08:04.930
134,4,7138689,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7258020,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7389313,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7842474,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7920491,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8214814,6,1,5,6,Variance 4,2022-08-11 18:08:04.930
134,4,8233775,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8286893,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8367766,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8460531,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8600456,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8603118,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8667060,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8674578,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8742404,4,4,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9152516,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9228097,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9228251,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9230594,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9371856,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9383010,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9481575,2,1,1,6,Variance 4,2022-08-11 18:08:04.930
134,4,9556607,5,5,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9558065,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9558519,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9559433,4,4,0,6,Variance 4,2022-08-11 18:08:04.930
134,4,9559683,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9560565,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9630319,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9678727,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9752946,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9763282,3,2,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9864975,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,1390149,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2190830,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2265073,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2342837,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2520315,4,4,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2566601,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2602799,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2710914,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2727765,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,2830587,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3248503,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3435449,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3483439,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3520423,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,3534125,2,1,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6384836,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6658323,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6717812,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6749087,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6917670,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,6978070,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7412290,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7492081,2,1,1,6,Variance 4,2022-08-11 18:08:04.930
134,4,7541781,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7796885,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7839273,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7932980,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,7972384,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8026863,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8109278,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8133519,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,84231307,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8572930,1,0,1,6,Variance 4,2022-08-11 18:08:04.930
134,4,8577295,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8579476,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8674489,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8789666,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8852471,3,1,2,6,Variance 4,2022-08-11 18:08:04.930
134,4,8866724,3,2,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8903355,6,6,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,8926167,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9036499,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9179067,1,0,1,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9185096,3,3,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9265644,5,5,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9373768,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9383368,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9465911,2,2,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9466052,5,5,0,1,Batch Pass 1,2022-08-11 17:39:11.800
134,4,9475848,1,1,0,1,Batch Pass 1,2022-08-11 17:39:11.800
